"","date_time","value"
"134",2017-11-11 03:14:00,6762.85
"135",2017-11-11 03:19:00,6761.9
"136",2017-11-11 03:24:00,6765.3
"137",2017-11-11 03:29:00,6749.57
"138",2017-11-11 03:34:00,6754.36
"139",2017-11-11 03:39:00,6774.65
"140",2017-11-11 03:44:00,6763.23
"141",2017-11-11 03:49:00,6779.34
"142",2017-11-11 03:54:00,6782.73
"143",2017-11-11 03:59:00,6784.68
"144",2017-11-11 04:04:00,6777.92
"145",2017-11-11 04:09:00,6759.76
"146",2017-11-11 04:14:00,6750.18
"147",2017-11-11 04:19:00,6773.66
"148",2017-11-11 04:24:00,6776.73
"149",2017-11-11 04:29:00,6790.33
"150",2017-11-11 04:34:00,6772.18
"151",2017-11-11 04:39:00,6778.39
"152",2017-11-11 04:44:00,6786.74
"153",2017-11-11 04:49:00,6789.72
"154",2017-11-11 04:54:00,6804.88
"155",2017-11-11 04:59:00,6806.27
"156",2017-11-11 05:04:00,6806.81
"157",2017-11-11 05:09:00,6820.67
"158",2017-11-11 05:14:00,6824.14
"159",2017-11-11 05:19:00,6794.06
"160",2017-11-11 05:24:00,6784.3
"161",2017-11-11 05:29:00,6767.83
"162",2017-11-11 05:34:00,6724.39
"163",2017-11-11 05:39:00,6722.48
"164",2017-11-11 05:44:00,6725.23
"165",2017-11-11 05:49:00,6721.1
"166",2017-11-11 05:54:00,6714.84
"167",2017-11-11 05:59:00,6707.93
"168",2017-11-11 06:04:00,6715.96
"169",2017-11-11 06:09:00,6685.2
"170",2017-11-11 06:14:00,6725.77
"171",2017-11-11 06:19:00,6739.87
"172",2017-11-11 06:24:00,6735.73
"173",2017-11-11 06:29:00,6714.11
"174",2017-11-11 06:34:00,6730.99
"175",2017-11-11 06:39:00,6712.88
"176",2017-11-11 06:44:00,6721.42
"177",2017-11-11 06:49:00,6739.34
"178",2017-11-11 06:54:00,6713.37
"179",2017-11-11 06:59:00,6738.86
"180",2017-11-11 07:04:00,6741.56
"181",2017-11-11 07:09:00,6731.21
"182",2017-11-11 07:14:00,6720.21
"183",2017-11-11 07:19:00,6718.08
"184",2017-11-11 07:24:00,6722.41
"185",2017-11-11 07:29:00,6700.96
"186",2017-11-11 07:34:00,6687.01
"187",2017-11-11 07:39:00,6659.83
"188",2017-11-11 07:44:00,6649.32
"189",2017-11-11 07:49:00,6685.29
"190",2017-11-11 07:54:00,6644.46
"191",2017-11-11 07:59:00,6666.14
